# Average monomer weight: 200
# Computed avg degree of polymerization 18.7
# All outputs are in units of monomer wt units
# Simulated/Experimental Mn: 3740, 3919.73
# Simulated/Experimental Mw: 14128.7, 14517.4
# Simulated/Experimental Mz: 29300, 63143.4
molwt	pMW	cMW	wMW	wlogMW
420000	1.95011e-14	0.999998	8.19048e-09	0.00344
428000	1.74688e-14	0.999998	7.47664e-09	0.0032
435000	1.56428e-14	0.999998	6.8046e-09	0.00296
444000	1.3899e-14	0.999999	6.17117e-09	0.00274
452000	1.23346e-14	0.999999	5.57522e-09	0.00252
460000	1.08223e-14	0.999999	4.97826e-09	0.00229
469000	9.41076e-15	0.999999	4.41365e-09	0.00207
477000	8.13083e-15	0.999999	3.87841e-09	0.00185
486000	6.94339e-15	0.999999	3.37449e-09	0.00164
495000	5.83614e-15	1	2.88889e-09	0.00143
504000	4.84221e-15	1	2.44048e-09	0.00123
514000	3.89862e-15	1	2.00389e-09	0.00103
523000	3.0271e-15	1	1.58317e-09	0.000828
533000	2.14721e-15	1	1.14447e-09	0.00061
543000	1.34984e-15	1	7.32965e-10	0.000398
553000	6.18033e-16	1	3.41772e-10	0.000189
